text,text_clean,rating,sentiment
Pengiriman dan respon super cepat. Tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,pengiriman dan respon super cepat tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor,2,Negative
"Produk sesuai deskripsi, packing rapi.. rekomended..!",produk sesuai deskripsi packing rapi rekomended,5,Positive
Ok lah.. sesuai denggan harga.,ok lah sesuai denggan harga,3,Neutral
bukan merk kenmaster ternyata,bukan merk kenmaster ternyata,4,Positive
Terimakasih barang sudah sampai,terimakasih barang sudah sampai,5,Positive
"Bagus..
Pengiriman cukup cepat",bagus pengiriman cukup cepat,5,Positive
Siiiiiiiippppppppp...,siiiiiiiippppppppp,5,Positive
Barang udh sampe...mksh....,barang udh sampe mksh,4,Positive
Terimakasih barangnya udah sampai.,terimakasih barangnya udah sampai,5,Positive
Fast respon dan terbaiks,fast respon dan terbaiks,5,Positive
makasih barang sudah sampai,makasih barang sudah sampai,5,Positive
Bagus.......top pengiriman cepat,bagus top pengiriman cepat,4,Positive
thanksss........................,thanksss,5,Positive
Merk beda tapi gpp yg penting ukrn sama,merk beda tapi gpp yg penting ukrn sama,4,Positive
Lihat bintangnya aja dahhhhh,lihat bintangnya aja dahhhhh,5,Positive
"bagus ,....................    ........",bagus,5,Positive
"Barang sudah diterima. Ukuran sesuai deskripsi. Hanya mereknya beda dengan yang dikirim, tetapi tidak masalah yang penting berfungsi dengan baik.",barang sudah diterima ukuran sesuai deskripsi hanya mereknya beda dengan yang dikirim tetapi tidak masalah yang penting berfungsi dengan baik,5,Positive
Barang sudah sampai....tks..,barang sudah sampai tks,5,Positive
"Bagus,,,,,, terimakasih .......",bagus terimakasih,5,Positive
"barang sudah samapai gan, dan bagus",barang sudah samapai gan dan bagus,5,Positive
"mantafff, sangat-sangat sesuai,,,",mantafff sangat sangat sesuai,5,Positive
Barang sudah diterima dengan baik...,barang sudah diterima dengan baik,5,Positive
"Pengiriman cepat, Kemasan bagus",pengiriman cepat kemasan bagus,5,Positive
SESUAI PERMINTAAN.. FAST RESPON,sesuai permintaan fast respon,5,Positive
Matab...good...sesuai permintaan...,matab good sesuai permintaan,5,Positive
barang yg dikirim tidak sesuai pesanan,barang yg dikirim tidak sesuai pesanan,1,Negative
barang lumayan kuat.... good,barang lumayan kuat good,5,Positive
sudah sampai murah meriah,sudah sampai murah meriah,5,Positive
"sudah di terima bos
packing bagus, aman",sudah di terima bos packing bagus aman,5,Positive
"makasih, barang sesuai gambar",makasih barang sesuai gambar,5,Positive
langsung dipakai. mantap. thanks. maaf baru kasi testi,langsung dipakai mantap thanks maaf baru kasi testi,5,Positive
"Harganya murah tp isinya lumayan banyak n kuat. Pesan kmrn hr ini nyampe. thanks Toko besi timur jaya, Tokopedia n wahana",harganya murah tp isinya lumayan banyak n kuat pesan kmrn hr ini nyampe thanks toko besi timur jaya tokopedia n wahana,5,Positive
ok.....................................,ok,4,Positive
terimakasih barang sdh diterima,terimakasih barang sdh diterima,4,Positive
Unit nya sudah sampai....thanks,unit nya sudah sampai thanks,4,Positive
Barang sudah sampai.. terima kasih,barang sudah sampai terima kasih,3,Neutral
ga nyampe sejam dr mulai transaksi...udah nyampe rumah...mksh,ga nyampe sejam dr mulai transaksi udah nyampe rumah mksh,5,Positive
"good.......cepat, packing aman.....",good cepat packing aman,5,Positive
Barang sangat bagus sesuai diskripsi,barang sangat bagus sesuai diskripsi,5,Positive
mantap sampai dengan aman gan.............................,mantap sampai dengan aman gan,5,Positive
barang udah nyampe om makasihhhhh,barang udah nyampe om makasihhhhh,5,Positive
recomended....................................,recomended,5,Positive
"barang sesuai, pengiriman cepat, ok",barang sesuai pengiriman cepat ok,5,Positive
mantab... fast respone.. tx u..,mantab fast respone tx u,5,Positive
"Barang bagus, packing cukup, kurir ramah",barang bagus packing cukup kurir ramah,5,Positive
Mantapppp banget ......,mantapppp banget,5,Positive
produk sesuai dan bagus. thanks,produk sesuai dan bagus thanks,5,Positive
"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",php bilang isi ada diseskripsi pas dipesen berbeda mubajir rp ternyata isinya ga cocok,1,Negative
Terima kasih semoga bermanfaat..,terima kasih semoga bermanfaat,5,Positive
Barang sesuai gambar dan diterima dalam kondisi baik,barang sesuai gambar dan diterima dalam kondisi baik,5,Positive
"Trmksih banyak juragan....
Atas kerjasamanya.....",trmksih banyak juragan atas kerjasamanya,5,Positive
Keren produk nya mantaps,keren produk nya mantaps,5,Positive
Barangnya sesuai syn digambar,barangnya sesuai syn digambar,4,Positive
"barang bagus...packing rapi,pokoknya top bgt",barang bagus packing rapi pokoknya top bgt,5,Positive
ok..................     . ..     .         ..,ok,5,Positive
Sesuai dengan apa yg sudah dijelaskan pada detail produk,sesuai dengan apa yg sudah dijelaskan pada detail produk,5,Positive
"Barang cepat sampai, tapi belum dicoba, besoklah kucoba dulu ya. baru testi lagi. thx",barang cepat sampai tapi belum dicoba besoklah kucoba dulu ya baru testi lagi thx,5,Positive
Fast respon. Barang sesuai dengan di gambar,fast respon barang sesuai dengan di gambar,3,Neutral
"Barang bagus,pengiriman cepat,recomended",barang bagus pengiriman cepat recomended,5,Positive
barang dah nyampek. trimakasih,barang dah nyampek trimakasih,4,Positive
barang sudah diterima dengan baik dan sesuai,barang sudah diterima dengan baik dan sesuai,5,Positive
"cepet respon'a
pesen pagi, siang udh sampe",cepet respon a pesen pagi siang udh sampe,5,Positive
"mantab...cepat sekali pengiriman
pesan pagi...siang udah dteng
barangnya jg bagus....thx",mantab cepat sekali pengiriman pesan pagi siang udah dteng barangnya jg bagus thx,5,Positive
Trimsssssss...................,trimsssssss,5,Positive
barang Bagus pengiriman cepat ..........,barang bagus pengiriman cepat,5,Positive
sudah terima dan respon cepat.....................................,sudah terima dan respon cepat,4,Positive
terimakasih gan barang cepat sampai dan sesuai dengan yang di orde,terimakasih gan barang cepat sampai dan sesuai dengan yang di orde,5,Positive
pelayanan memuaskan gan.....................................,pelayanan memuaskan gan,4,Positive
barang sudah sampai tujuan dengan cepat gan mkash,barang sudah sampai tujuan dengan cepat gan mkash,4,Positive
Recsell👍👍👍👍,recsell,4,Positive
Keren bagus sangat berguna sekali,keren bagus sangat berguna sekali,5,Positive
"Barang sesuai gambar, packing rapihlah,
Pengiriman standar dan harga terjangkau..

Terima kasih",barang sesuai gambar packing rapihlah pengiriman standar dan harga terjangkau terima kasih,5,Positive
"Belum dicoba, klo ok nanti bintang nya saya tambah",belum dicoba klo ok nanti bintang nya saya tambah,4,Positive
Recomended seller semoga awet,recomended seller semoga awet,5,Positive
Barang oke terima kasih,barang oke terima kasih,3,Neutral
"Barang bagus, berfungsi dgn baik....",barang bagus berfungsi dgn baik,5,Positive
Barangnya datang tepat waktu,barangnya datang tepat waktu,5,Positive
Barang sudah diterima dengan baik dan pengiriman yg cepat. Terima kasih.,barang sudah diterima dengan baik dan pengiriman yg cepat terima kasih,5,Positive
mantap gun tackernya gan,mantap gun tackernya gan,5,Positive
Gooooooooooooooooooood,gooooooooooooooooooood,5,Positive
Seller merespon dengan cepat dengan proses pengiriman yang juga cepat. Barang dipacking rapi dan berkualitas baru (bnib). Stapler gun sudah termasuk isinya dan ada 3 jenis ukuran.,seller merespon dengan cepat dengan proses pengiriman yang juga cepat barang dipacking rapi dan berkualitas baru bnib stapler gun sudah termasuk isinya dan ada jenis ukuran,5,Positive
Sesuai deskripsi......lumayan lah buat pertama kali,sesuai deskripsi lumayan lah buat pertama kali,3,Neutral
barang jelek copot&#34; terus tmpat taro isinya,barang jelek copot terus tmpat taro isinya,2,Negative
👍👍👍👍👍👍👍,,5,Positive
Barang dah sampe..cepat rapi dan respon penjual baik,barang dah sampe cepat rapi dan respon penjual baik,5,Positive
"barang sudah diterima dalam kondisi bagus, sudah di test, terimakasih",barang sudah diterima dalam kondisi bagus sudah di test terimakasih,5,Positive
Produk bagus dan respon cepat.,produk bagus dan respon cepat,5,Positive
Terima kasih seller barang baru sampai.tapi kurang teliti.mohon d perbaiki lg ya supaya gak tertukar no resinya dgn yg lain....,terima kasih seller barang baru sampai tapi kurang teliti mohon d perbaiki lg ya supaya gak tertukar no resinya dgn yg lain,3,Neutral
"Mantap, rekomen seller, barang bagus",mantap rekomen seller barang bagus,5,Positive
Barang sesuai deskripsi. Pengiriman cepat. Thanks 👍,barang sesuai deskripsi pengiriman cepat thanks,5,Positive
"delivery cepat, packing rapih, produk sesuai deskripsi gambar, trims ya gan",delivery cepat packing rapih produk sesuai deskripsi gambar trims ya gan,5,Positive
"barang sudah sampai, 
langsung dicoba n lancar jaya. 
thanks seller.",barang sudah sampai langsung dicoba n lancar jaya thanks seller,5,Positive
Mantaps brng sesuai dan cepat responnya,mantaps brng sesuai dan cepat responnya,5,Positive
"Barang sesuai gambar 
Respon penjual cepat",barang sesuai gambar respon penjual cepat,5,Positive
Barang di terima sesuai spek,barang di terima sesuai spek,5,Positive
"Barang telah tiba, sesuai gambar...",barang telah tiba sesuai gambar,5,Positive
Barang sudah di terima thank u,barang sudah di terima thank u,5,Positive
Terimakasih gan barang sudah sampai,terimakasih gan barang sudah sampai,5,Positive
Barang sudaj sampai gan tks....,barang sudaj sampai gan tks,5,Positive
respon cepat... pengiriman juga cepat... sudah dites kualitas barang ok... trims,respon cepat pengiriman juga cepat sudah dites kualitas barang ok trims,5,Positive
Terimakasihhhhhhh.............,terimakasihhhhhhh,5,Positive
"barang sdh dterima dgn baik, trima kasih..",barang sdh dterima dgn baik trima kasih,5,Positive
"Barang sudah di terima, bagus, packing rapih makasih pelayanan nya",barang sudah di terima bagus packing rapih makasih pelayanan nya,5,Positive
"Barang sudah sampai, bahan kokoh sptnya..udah di tes ke kayu..nempel kuat..untung dapet bonus isi nya..trims gan.",barang sudah sampai bahan kokoh sptnya udah di tes ke kayu nempel kuat untung dapet bonus isi nya trims gan,4,Positive
Packing sangat rapih dan barang sesuai yg dipesan,packing sangat rapih dan barang sesuai yg dipesan,5,Positive
"Mantap, ajib, top, joss",mantap ajib top joss,5,Positive
Pengiriman &amp; packaging bagus. Sesuai foto &amp; deskripsi. Staple gun agak berat ketika dipake.,pengiriman amp packaging bagus sesuai foto amp deskripsi staple gun agak berat ketika dipake,4,Positive
oke........... sesuai pesanan,oke sesuai pesanan,5,Positive
makasih gan...barang sesuai ....,makasih gan barang sesuai,4,Positive
Barang bagus. Kalau beli isinya kira2 di Toko ATK ada yang jual nda ya?,barang bagus kalau beli isinya kira di toko atk ada yang jual nda ya,5,Positive
"trims yaaa, barangx sdh sampai",trims yaaa barangx sdh sampai,5,Positive
barang sesuai walaupun belum di coba...makasih tokopedia,barang sesuai walaupun belum di coba makasih tokopedia,5,Positive
packing bagus barang sesuai diskripsi,packing bagus barang sesuai diskripsi,3,Neutral
mantab fast respon...,mantab fast respon,5,Positive
"barang sudah sampai, belum tak coba",barang sudah sampai belum tak coba,5,Positive
baguuuus sesuai deskripsi dan gambar. belum dicoba sih semoga g ada masalah,baguuuus sesuai deskripsi dan gambar belum dicoba sih semoga g ada masalah,5,Positive
Produk bekerja dengan baik &amp; kuat,produk bekerja dengan baik amp kuat,5,Positive
Beli staples gak jual isinya... hanya sekali pake.... ckckck,beli staples gak jual isinya hanya sekali pake ckckck,1,Negative
Bagusbanget......................................................................,bagusbanget,5,Positive
terimakasih barang sudah sampai,terimakasih barang sudah sampai,3,Neutral
Puas pisan cepet pisan,puas pisan cepet pisan,5,Positive
"barang bagus sesuai deskripsi, packing rapi, pengiriman cepat. semoga tambah sukses gan, tks.",barang bagus sesuai deskripsi packing rapi pengiriman cepat semoga tambah sukses gan tks,5,Positive
kirimannya sudah sampe.. makasih,kirimannya sudah sampe makasih,4,Positive
Barang sesuai pesanan,barang sesuai pesanan,5,Positive
Barang sdh sampai dgn cepat.. Sdh dicoba dan hasilnya ok... Sukses terus boss.....,barang sdh sampai dgn cepat sdh dicoba dan hasilnya ok sukses terus boss,5,Positive
"sesuai gambar, tp blm dicoba... semoga memuaskan....thanks",sesuai gambar tp blm dicoba semoga memuaskan thanks,4,Positive
barangnya kurang bagus atomnya gak masuk semua,barangnya kurang bagus atomnya gak masuk semua,3,Neutral
sangat cepat responnya..good job thanks,sangat cepat responnya good job thanks,5,Positive
sudah saya terima dlm keadaan baik. trims,sudah saya terima dlm keadaan baik trims,5,Positive
"Terima kasih, Thank You, Danke, Gracias, Kittos, Syukron.",terima kasih thank you danke gracias kittos syukron,5,Positive
"Brg sesuai gambar, pelayanan oke",brg sesuai gambar pelayanan oke,5,Positive
Barang sdh sampai....,barang sdh sampai,4,Positive
Barang sudah di terima dengan baik,barang sudah di terima dengan baik,4,Positive
barang sesuai gambar. kemasan baik dan pengiriman cepat. terima kasih,barang sesuai gambar kemasan baik dan pengiriman cepat terima kasih,5,Positive
"Barang sesuai deskripsi,cuma terlambat di pengiriman.Semoga berkah",barang sesuai deskripsi cuma terlambat di pengiriman semoga berkah,4,Positive
"Sesuai dgn deskripsi dan foto, dan sangat cocok bagi saya yg baru belajar.  Saya REKOMENDASIKAN Toko Rumah Baju Kita untuk belanja disini sebab komitmen dgn pembicaraan kita dichat. Setelah bayar barang langsung diproses dan dikirim hari itu juga untuk pengirimannya menggunakan Pos Indonesia sudah sesuai dengan waktu pengiriman yg saya pilih. Sy puas dengan pelayan kalian",sesuai dgn deskripsi dan foto dan sangat cocok bagi saya yg baru belajar saya rekomendasikan toko rumah baju kita untuk belanja disini sebab komitmen dgn pembicaraan kita dichat setelah bayar barang langsung diproses dan dikirim hari itu juga untuk pengirimannya menggunakan pos indonesia sudah sesuai dengan waktu pengiriman yg saya pilih sy puas dengan pelayan kalian,5,Positive
good product. mantab jaya. recomended seller,good product mantab jaya recomended seller,5,Positive
Produk mantab pelayanan cepat.... Terimakasih,produk mantab pelayanan cepat terimakasih,5,Positive
"Barang sesuai deskripsi, tolong pakingnya di pebaiki lagi  dikasih lakban biar aman, punya saya pakunya tercecer dimana2 kotaknya robek",barang sesuai deskripsi tolong pakingnya di pebaiki lagi dikasih lakban biar aman punya saya pakunya tercecer dimana kotaknya robek,4,Positive
"Barang sesuai deskripsi dan bagus, semoga awet. Thx",barang sesuai deskripsi dan bagus semoga awet thx,5,Positive
Packing Baik. Recommended Seller. Barang Sesuai Pesanan,packing baik recommended seller barang sesuai pesanan,5,Positive
"bagus...
nanti saya pesan lagi di toko ini",bagus nanti saya pesan lagi di toko ini,5,Positive
Mantap gan bagus...........,mantap gan bagus,5,Positive
"Saya mau review utk packaging, produk dan penjual.
Pertama packaging sangat rapi, pakai double bubble dan dibalut lagi dengan karton tebal.
Kedua produk sangat berkualitas tinggi, harga standar dan kualitas juara, ketajaman ujung mata paku sangat tajam hingga mempermudah paku tembusnya.
Ketiga penjual sangat sangat ramah, baru kali pertama ini saya dilayani dengan sangat puas. Pertama saya beli barang ini dan ancur parah oleh pihak ekspedisi dan saya tidak langsung komplain tetapi coba utk diskusi dengan penjual dan hasilnya sangat memuaskan, bahwa penjual siap utk mengirim ulang tanpa membawa barang yg rusaknya itu.

Saya jamin menurut pengalaman pribadi kalo ini toko berani bersaing dari sisi harga dan sangat recommended seller.",saya mau review utk packaging produk dan penjual pertama packaging sangat rapi pakai double bubble dan dibalut lagi dengan karton tebal kedua produk sangat berkualitas tinggi harga standar dan kualitas juara ketajaman ujung mata paku sangat tajam hingga mempermudah paku tembusnya ketiga penjual sangat sangat ramah baru kali pertama ini saya dilayani dengan sangat puas pertama saya beli barang ini dan ancur parah oleh pihak ekspedisi dan saya tidak langsung komplain tetapi coba utk diskusi dengan penjual dan hasilnya sangat memuaskan bahwa penjual siap utk mengirim ulang tanpa membawa barang yg rusaknya itu saya jamin menurut pengalaman pribadi kalo ini toko berani bersaing dari sisi harga dan sangat recommended seller,5,Positive
"Respon dan pengiriman cepat, barang oke, good seller",respon dan pengiriman cepat barang oke good seller,5,Positive
"Pengiriman cepat,packing rapi dan barangnya sesuai dgn deskripsi",pengiriman cepat packing rapi dan barangnya sesuai dgn deskripsi,5,Positive
Bagus bagus bagusksksnsnjsjjsksmmsms,bagus bagus bagusksksnsnjsjjsksmmsms,5,Positive
"Respon dan pengiriman cepat, barang bagus",respon dan pengiriman cepat barang bagus,5,Positive
"Selamat sampai tujuan,barang berfungsi normal,isi paket lengkap",selamat sampai tujuan barang berfungsi normal isi paket lengkap,5,Positive
"Recomended seller, respon cepat packing mantap, barang pesanan di buble wrap.... Josss",recomended seller respon cepat packing mantap barang pesanan di buble wrap josss,5,Positive
"Produknya ok,...............",produknya ok,5,Positive
"Kualitas okey, makasih Gan. Semua barang aman, dan sesuai deskripsi.",kualitas okey makasih gan semua barang aman dan sesuai deskripsi,5,Positive
"mantab joos  tanpa kendala, sampai jg sangat cepat, packingnya aman kemasan dan produk mulus, top pkoknya sukses selalu",mantab joos tanpa kendala sampai jg sangat cepat packingnya aman kemasan dan produk mulus top pkoknya sukses selalu,5,Positive
Barang sesuai dengan deskripsi. Pengiriman cepat gak pake lama. Barang bagus. Mantap dahh pokoknya. Thanks gan,barang sesuai dengan deskripsi pengiriman cepat gak pake lama barang bagus mantap dahh pokoknya thanks gan,5,Positive
"barang sesuai pesanan, respon dan pengiriman cepat, good Seller",barang sesuai pesanan respon dan pengiriman cepat good seller,5,Positive
Barang sesuai posting.. siip,barang sesuai posting siip,5,Positive
"berfungsi dengan baik, pengiriman dan respon cepat",berfungsi dengan baik pengiriman dan respon cepat,5,Positive
Barang sesuai dengan gambar pengiriman cepat. Respon Seller 👍🏼👍🏼,barang sesuai dengan gambar pengiriman cepat respon seller,5,Positive
"Recommended seller
...",recommended seller,5,Positive
"Barang bagus, respond cepat..",barang bagus respond cepat,5,Positive
Barang sesuai order respon dan pengiriman cepat,barang sesuai order respon dan pengiriman cepat,4,Positive
Terima kasih pak. Barang nay sudah sampai,terima kasih pak barang nay sudah sampai,4,Positive
Bagusssssssssssss mksh,bagusssssssssssss mksh,5,Positive
"Pas dengan air nailer nya gan .. thanks.

Recommended seller.",pas dengan air nailer nya gan thanks recommended seller,5,Positive
oke sip sudah dinpake.. mantap,oke sip sudah dinpake mantap,5,Positive
Makasih juragan.......,makasih juragan,4,Positive
MANTAB..!!! SALAM NINGRAT..!!!,mantab salam ningrat,5,Positive
"Best dah best best, penjual yg bner  best dah....",best dah best best penjual yg bner best dah,5,Positive
Barang datang sesuai pesanan. Packing rapi.,barang datang sesuai pesanan packing rapi,4,Positive
mantap barng oke dn cepat,mantap barng oke dn cepat,4,Positive
"mkasih bnyak barang sesuai :) harga miring, kualitas baguss sekali, sukses ya gan",mkasih bnyak barang sesuai harga miring kualitas baguss sekali sukses ya gan,5,Positive
"Alhamdulillah paket sdh sampai, respon dan pelayanan cepat, recommended deh, mksh bos",alhamdulillah paket sdh sampai respon dan pelayanan cepat recommended deh mksh bos,4,Positive
Barang sesuai pesanan tapi kalok bisa tambahin bonus isi staplesnya,barang sesuai pesanan tapi kalok bisa tambahin bonus isi staplesnya,4,Positive
Produk Bagus..cuma isinya agak Susah..Produk sesuai deskripsi. Langsung dipakai ok dan mantul. Moga awet aja. Terima kasih,produk bagus cuma isinya agak susah produk sesuai deskripsi langsung dipakai ok dan mantul moga awet aja terima kasih,5,Positive
terima kasih paket sudah di terima,terima kasih paket sudah di terima,3,Neutral
Gan jual isi steples nya.....,gan jual isi steples nya,5,Positive
Barang bagus..........respon cepat...........maaf ulasannya lambat,barang bagus respon cepat maaf ulasannya lambat,4,Positive
barang sudah diterima.......................,barang sudah diterima,4,Positive
makasih barang dah smpai dengan aman,makasih barang dah smpai dengan aman,4,Positive
"barang sudah sampai dengan packing rapih , terimakasih gan",barang sudah sampai dengan packing rapih terimakasih gan,4,Positive
